rspo,miejscowosc,ulica_nr,latitude,longitude
8847,Raczyny,ul. Kopernika 5,52.26853,22.63428
264325,Żyrardów,ul. Adama Mickiewicza 126/128,52.055532,20.4446435
30368,Żyrardów,ul. Gabriela Narutowicza 35,52.055532,20.4446435
29970,Żyrardów,ul. Jasna 11,52.055532,20.4446435
31353,Żyrardów,ul. Radziwiłłowska 16,52.055532,20.4446435
34206,Żyrardów,ul. Józefa Mireckiego 56,52.055532,20.4446435
31602,Żyrardów,ul. Franklina Roosevelta 2,52.055532,20.4446435
30775,Żyrardów,ul. Janiny Jadwigi Kacperskiej 6B,52.055532,20.4446435
8849,Poniatowo,ul. Szkolna 4,52.641449,22.0363747
8850,Chamsk,ul. Szkolna 19,53.0239428,19.9301703
26018,Żuromin,ul. Wiatraczna 16,53.0671703,19.9078353
53424,Sucha,ul. Szlachecka 88A,53.7558605,15.9706013
53602,Białobrzegi,ul. Rzemieślnicza 21,50.764613,23.1475593
26129,Olkowice,23,51.72945,20.96497
31929,Przybyszew,ul. Władysława Rosłońca 5,51.664084,20.8550539
26130,Promna-Kolonia,39,51.6823225,20.9522724
80552,Rogolin,4a,51.5537802,20.8824287
74430,Bukówno,1,51.5448346,20.863896
80553,Czarnocin,58,50.3401679,20.5191795
85604,Stary Gózd,90,51.5621101,21.027918
85601,Stara Błotnica,49,51.5457981,20.9722902
52428,Sycyna-Kolonia,125,51.305869,21.5982534
52430,Paciorkowa Wola Nowa,63,51.389207,21.6350454
49112,Zwoleń,ul. Ludowa 35,51.3564745,21.5844652
52431,Barycz-Kolonia,1,51.3136956,21.6590228
84980,Huszlew,113,52.13919,22.84384
80430,Mostów,10,52.1205877,21.3709308
67825,Hadynów,1,52.1696984,22.6822847
82557,Próchenki,90,52.110137,22.6528742
82491,Olszanka,38A,52.147254,22.6684731
7238,Górki,4,50.6652721,21.4339341
7243,Platerów,ul. Siedlecka 7,52.3019807,22.8184308
42491,Rusków,104,52.3217872,22.7252593
263520,Czuchów-Pieńki,1,52.28157,22.78428
87222,Sarnaki,ul. 3 Maja 27,52.314485,22.8898812
88421,Serpelice,83,52.2799412,23.0499912
28481,Stara Kornica,172,52.1837509,22.9345214
35296,Kaliska,50,52.4073607,19.1204275
11287,Łochów,ul. Stefana Żeromskiego 3,52.53042,21.68528
262437,Łochów,ul. Stanisława Wyspiańskiego 20,52.53042,21.68528
34227,Zakrzówek-Wieś,7,51.2915835,21.3816399
34210,Kazanów,ul. Kościelna 52,51.2749452,21.4683529
43517,Kowalków-Kolonia,17,51.2335522,21.3786914
103378,Policzna,ul. Stefana Żeromskiego 44,51.4503026,21.625574
106274,Czarnolas,87,51.4311783,21.6895597
24632,Łaguszów,29,51.3688092,21.7872793
24667,Grabów nad Wisłą,57,51.355053,21.6754259
24477,Stefanów,38,52.4565941,19.5373278
272296,Przyłęk,142,51.32216,21.73598
26565,Brzezinki Stare,BN,51.3153767,21.4825263
26614,Janów,28A,51.8591583,21.1133184
26717,Rawica-Kolonia,BN,51.3296048,21.390722
39113,Tczów,113,51.3263482,21.4456688
87258,Ruchna,ul. Siedlecka 5,52.3744412,22.0598197
87257,Liw,ul. ks. K. R. Leszczyńskiego 2,52.3750352,21.9670594
86713,Miedzna,ul. Kościelna 15,52.4674168,22.0895914
66201,Sadowne,ul. Kościuszki 72,52.6408839,21.845991
90086,Grabiny,11,49.918486,20.3641319
92888,Grygrów,1b,52.4975146,21.9006795
106679,Stoczek,ul. Węgrowska 34,52.829004,23.7452291
92886,Topór,54,52.5718284,21.8362922
93107,Krypy,59,52.4065,21.96988
93105,Wierzbno,48,52.2749126,17.8834285
42873,Węgrów,ul. Tadeusza Kościuszki 16,52.3989231,22.0174472
262736,Węgrów,ul. Karola Szamoty 35,52.3989231,22.0174472
11909,Gwizdały,ul. Szkolna 9,52.549762,21.6297114
11916,Kamionna,ul. Szkolna 18,52.56486,15.9585671
35079,Ostrówek,ul. Szkolna 2,51.2646733,22.9895929
10760,Łochów,ul. 1 Maja 47,52.53042,21.68528
