rspo,school_name,year,kept_miejscowosc,kept_ulica_nr,declined_miejscowosc,declined_ulica_nr,dropped_words
2970,NIEPUBLICZNA SZKOŁA PODSTAWOWA W GOŁĄBKU,2026,Gołąbek,ul. Szkolna 26,Gołąbek,Szkolna 26,ul
3471,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W STUPSKU,2026,Stupsk,ul. Henryka Sienkiewicza 11,Stupsk,Sienkiewicza 11,ul henryka
3798,SZKOŁA PODSTAWOWA IM. FRYDERYKA CHOPINA W KSIĄŻENICACH,2026,Książenice,al. E. Marylskiego 3,Książenice,Marylskiego 3,al e
3951,SZKOŁA PODSTAWOWA NR 1 IM. JÓZEFA PIŁSUDSKIEGO W PIASECZNIE,2026,Piaseczno,ul. Świętojańska 18,Piaseczno,Świętojańska 18,ul
4048,SZKOŁA PODSTAWOWA NR 1 IM. HENRYKA SIENKIEWICZA,2026,Grodzisk Mazowiecki,ul. W. Bartniaka 13A,Grodzisk Mazowiecki,Bartniaka 13A,ul w
4120,PUBLICZNA SZKOŁA PODSTAWOWA,2026,Parysów,ul. Książęca 11,Parysów,Książęca 11,ul
4470,SZKOŁA PODSTAWOWA NR 6 IM. SZARYCH SZEREGÓW,2026,Grodzisk Mazowiecki,ul. Sportowa 31,Grodzisk Mazowiecki,Sportowa 31,ul
4661,SZKOŁA PODSTAWOWA IM. WŁADYSŁAWA BRONIEWSKIEGO,2026,Bielsk,ul. Sierpecka 42,Bielsk,Sierpecka 42,ul
4698,SZKOŁA PODSTAWOWA IM. ŻOŁNIERZY ARMII KRAJOWEJ - BOHATERÓW LASÓW CHOJNOWSKICH W UWIELINACH,2026,Uwieliny,ul. Szkolna 2A,Uwieliny,Szkolna 2A,ul
4699,SZKOŁA PODSTAWOWA,2026,Prażmów,ul. Franciszka Ryxa 72,Prażmów,Ryxa 72,ul franciszka
4818,PUBLICZNA SZKOŁA PODSTAWOWA IM. ST. ŻEROMSKIEGO,2026,Wierzbica,ul. Żeromskiego 62,Wierzbica,Żeromskiego 62,ul
5120,SZKOŁA PODSTAWOWA NR 352 W WARSZAWIE IM. JERZEGO HUBERTA WAGNERA,2026,Warszawa,ul. Josepha Conrada 6,Warszawa,Conrada 6,ul josepha
