rspo,school_name,year,missing_subjects,n_polski,median_polski,mean_polski,n_matematyka,median_matematyka,mean_matematyka,n_angielski,median_angielski,mean_angielski
38643,PUBLICZNA SZKOŁA PODSTAWOWA SPECJALNA,2021,"polski, matematyka, angielski",8.0,,,8.0,,,8.0,,
86863,OGÓLNOKSZTAŁCACA SZKOŁA MUZYCZNA I STOPNIA W ZESPOLE SZKÓŁ MUZYCZNYCH IM. OSKARA KOLBERGA,2021,"polski, matematyka, angielski",8.0,,,8.0,,,8.0,,
131791,SZKOŁA PODSTAWOWA PARTNER INTERNATIONAL PRIMARY SCHOOL Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. MARII MONTESSORI,2021,"polski, matematyka, angielski",7.0,,,7.0,,,5.0,,
262331,"NIEPUBLICZNA SZKOŁA PODSTAWOWA Z ODDZIAŁAMI PRZYSPOSABIAJĄCYMI DO PRACY ""PROFESJA"" OŚRODKA KSZTAŁCENIA ZAWODOWEGO W RADOMIU",2021,"polski, matematyka, angielski",9.0,,,9.0,,,9.0,,
70020,SPOŁECZNA SZKOŁA PODSTAWOWA SPOŁECZNEGO TOWARZYSTWA OŚWIATOWEGO W SIEDLCACH,2021,"polski, matematyka, angielski",5.0,,,5.0,,,5.0,,
25033,INTERNATIONAL AMERICAN SCHOOL SP. Z O.O. AMERYKAŃSKA SZKOŁA PODSTAWOWA NIEPUBLICZNA NR 44,2021,"polski, matematyka, angielski",2.0,,,2.0,,,2.0,,
29950,SZKOŁA PODSTAWOWA NIEPUBLICZNA KOLEGIUM ŚW. STANISŁAWA KOSTKI,2021,"polski, matematyka, angielski",2.0,,,2.0,,,8.0,,
31707,"SZKOŁA PODSTAWOWA NIEPUBLICZNA NR 90 ""SZKOŁA RODZINNA""",2021,"polski, matematyka, angielski",4.0,,,4.0,,,5.0,,
34229,PRYWATNA SZKOŁA PODSTAWOWA NR 114,2021,"polski, matematyka, angielski",9.0,,,9.0,,,8.0,,
52987,CHRZEŚCIJAŃSKA SZKOŁA PODSTAWOWA SAMUEL,2021,"polski, matematyka",9.0,,,9.0,,,11.0,91.0,82.45454545454545
52998,POLSKO-NIEMIECKA SZKOŁA SPOTKAŃ I DIALOGU IM. WILLY'EGO BRANDTA W WARSZAWIE - SZKOŁA PODSTAWOWA,2021,angielski,13.0,69.0,68.0,13.0,48.0,48.92307692307692,5.0,,
53015,"NIEPUBLICZNA SZKOŁA PODSTAWOWA ""INTERNATIONAL TRILINGUAL SCHOOL OF WARSAW""",2021,"polski, matematyka, angielski",2.0,,,2.0,,,1.0,,
53017,ACADEMY INTERNATIONAL KAROLKOWA 49 NIEPUBLICZNA SZKOŁA PODSTAWOWA Z ODDZIAŁAMI DWUJĘZYCZNYMI NR 81,2021,"polski, matematyka, angielski",9.0,,,9.0,,,9.0,,
53020,SZKOŁA PODSTAWOWA CHOCIMSKA,2021,"polski, matematyka, angielski",7.0,,,7.0,,,7.0,,
53028,NIEPUBLICZNA SZKOŁA PODSTAWOWA GAUDEAMUS,2021,"polski, matematyka, angielski",8.0,,,8.0,,,8.0,,
80253,"""WONDERFUL YEARS SCHOOL"" PRYWATNA SZKOŁA PODSTAWOWA",2021,"polski, matematyka, angielski",8.0,,,8.0,,,9.0,,
103582,OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. W WARSZAWIE,2021,"polski, matematyka, angielski",3.0,,,3.0,,,3.0,,
104258,PAŃSTWOWA OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. IM. GRAŻYNY BACEWICZ W WARSZAWIE,2021,"polski, matematyka, angielski",2.0,,,2.0,,,2.0,,
105293,SZKOŁA PODSTAWOWA SPECJALNA NR 39,2021,"polski, matematyka, angielski",8.0,,,8.0,,,8.0,,
105405,SZKOŁA PODSTAWOWA SPECJALNA NR 287 W SAMODZIELNYM PUBLICZNYM DZIECIĘCYM SZPITALU KLINICZNYM,2021,"polski, matematyka, angielski",1.0,,,1.0,,,1.0,,
105686,SZKOŁA PODSTAWOWA SPECJALNA NR 291,2021,"polski, matematyka, angielski",6.0,,,6.0,,,6.0,,
106323,SZKOŁA PODSTAWOWA SPECJALNA NR 347 W MŁODZIEŻOWYM OŚRODKU SOCJOTERAPII NR 4 W ZESPOLE PLACÓWEK OPIEKUŃCZO-WYCHOWAWCZYCH,2021,"polski, matematyka, angielski",8.0,,,8.0,,,7.0,,
114664,SZKOŁA PODSTAWOWA AKADEMIA DOBREJ EDUKACJI IM. GEN. JÓZEFA SOWIŃSKIEGO,2021,"polski, matematyka, angielski",7.0,,,7.0,,,7.0,,
118680,SZKOŁA PODSTAWOWA HELIANTUS,2021,"polski, matematyka, angielski",6.0,,,6.0,,,6.0,,
121724,MIĘDZYNARODOWA SZKOŁA MONTESSORI W WARSZAWIE,2021,"polski, matematyka, angielski",9.0,,,9.0,,,9.0,,
124012,"NIEPUBLICZNA POLSKO-ANGIELSKA SZKOŁA PODSTAWOWA ""VANCOUVER SCHOOLS""",2021,"polski, matematyka, angielski",3.0,,,3.0,,,3.0,,
125191,SZKOŁA PODSTAWOWA NR 235 W ZAKŁADZIE POPRAWCZYM I SCHRONISKU DLA NIELETNICH W WARSZAWIE-FALENICY,2021,"polski, matematyka, angielski",4.0,,,4.0,,,4.0,,
127832,NOWATORSKA SZKOŁA PODSTAWOWA,2021,"polski, matematyka, angielski",1.0,,,1.0,,,1.0,,
128471,NIEPUBLICZNA SZKOŁA PODSTAWOWA,2021,"polski, matematyka, angielski",1.0,,,1.0,,,1.0,,
128501,SZKOŁA PODSTAWOWA HLONDA 12,2021,"polski, matematyka, angielski",3.0,,,3.0,,,5.0,,
129719,SZKOŁA PODSTAWOWA MIKROSZKOŁA WŁOCHY,2021,"polski, matematyka, angielski",1.0,,,1.0,,,1.0,,
131706,"SZKOŁA PODSTAWOWA ""SZKOŁA W CHMURZE""",2021,"polski, matematyka, angielski",5.0,,,5.0,,,5.0,,
133572,NIEPUBLICZNA SZKOŁA PODSTAWOWA WYSPA JP2,2021,"polski, matematyka, angielski",6.0,,,6.0,,,6.0,,
196263,"SZKOŁA PODSTAWOWA SPECJALNA NR 393 W MŁODZIEŻOWYM OŚRODKU SOCJOTERAPII NR 2 ""KĄT""",2021,angielski,11.0,31.0,38.0,10.0,22.0,29.2,9.0,,
262848,NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 38 Z ODDZIAŁAMI INTEGRACYJNYMI IM. IRENY SENDLEROWEJ,2021,"polski, matematyka, angielski",8.0,,,8.0,,,8.0,,
268015,SZKOŁA PODSTAWOWA RONJA,2021,"polski, matematyka, angielski",9.0,,,9.0,,,9.0,,
272093,SZKOŁA PODSTAWOWA EDUVENTURA,2021,"polski, matematyka, angielski",5.0,,,5.0,,,5.0,,
273293,WARSZAWSKA AKADEMICKA SZKOŁA PODSTAWOWA,2021,"polski, matematyka, angielski",2.0,,,1.0,,,1.0,,
26129,PUBLICZNA SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W OLKOWICACH,2021,"polski, matematyka, angielski",8.0,,,8.0,,,8.0,,
